;;;;;;;W;X;Y;Z;;;;;;;;;;;;;;;;;;
timestamp;w;x;y;z;;0;vector;0,00;0,00;1,00;;11;12;13;21;22;23;31;32;33;;X;Y;Z;MOD;X;Y;Z
0,142210484;0,005527449;-0,008058104;-0,000976924;0,999951779;;142;0,01;-0,01;0,00;1,00;;-0,9999;-0,0110;-0,0162;0,0110;-0,9999;-0,0019;-0,0162;-0,0021;1,0001;;-0,01621;-0,00191;1,00009;1,00023;-0,01621;-0,00191;0,99987
0,158018112;0,010573224;-0,014441519;-0,000879539;0,999839425;;16;0,01;-0,01;0,00;1,00;;-0,9993;-0,0212;-0,0288;0,0212;-0,9993;-0,0015;-0,0288;-0,0021;0,9999;;-0,02881;-0,00149;0,99992;1,00034;-0,02880;-0,00149;0,99958
0,159018993;0,011550234;-0,014981961;-0,000559333;0,999820894;;1;0,01;-0,02;0,00;1,00;;-0,9992;-0,0232;-0,0300;0,0232;-0,9992;-0,0009;-0,0300;-0,0015;1,0000;;-0,03001;-0,00085;0,99996;1,00041;-0,03000;-0,00085;0,99955
0,159018993;0,011796479;-0,014935077;-0,000399305;0,999818797;;0;0,01;-0,01;0,00;1,00;;-0,9992;-0,0236;-0,0298;0,0236;-0,9992;-0,0004;-0,0298;-0,0012;1,0000;;-0,02980;-0,00045;0,99996;1,00041;-0,02979;-0,00045;0,99956
0,159018993;0,011884082;-0,014872604;-0,000322535;0,999818719;;0;0,01;-0,01;0,00;1,00;;-0,9992;-0,0238;-0,0298;0,0238;-0,9992;-0,0002;-0,0298;-0,0010;1,0000;;-0,02980;-0,00025;0,99996;1,00041;-0,02979;-0,00025;0,99956
0,159018993;0,011929007;-0,014830136;-0,000278647;0,999818828;;0;0,01;-0,01;0,00;1,00;;-0,9992;-0,0238;-0,0296;0,0238;-0,9992;-0,0002;-0,0296;-0,0010;1,0000;;-0,02960;-0,00025;0,99996;1,00040;-0,02959;-0,00025;0,99956
0,160018444;0,011948695;-0,014810406;-0,000258928;0,99981889;;1;0,01;-0,01;0,00;1,00;;-0,9992;-0,0238;-0,0296;0,0238;-0,9992;-0,0002;-0,0296;-0,0010;1,0000;;-0,02960;-0,00025;0,99996;1,00040;-0,02959;-0,00025;0,99956
0,161018848;0,011962743;-0,014796044;-0,000244735;0,999818939;;1;0,01;-0,01;0,00;1,00;;-0,9992;-0,0240;-0,0296;0,0240;-0,9992;0,0000;-0,0296;-0,0008;1,0000;;-0,02960;-0,00004;0,99996;1,00040;-0,02959;-0,00004;0,99956
0,162019491;0,015738351;-0,020256626;0,00E+00;0,999670932;;1;0,02;-0,02;0,00;1,00;;-0,9987;-0,0314;-0,0406;0,0314;-0,9987;0,0006;-0,0406;-0,0006;1,0001;;-0,04059;0,00064;1,00006;1,00088;-0,04055;0,00064;0,99918
0,163008928;0,01650486;-0,020712972;0,000262951;0,999649185;;1;0,02;-0,02;0,00;1,00;;-0,9985;-0,0330;-0,0414;0,0330;-0,9985;0,0013;-0,0414;-0,0001;0,9999;;-0,04137;0,00128;0,99990;1,00076;-0,04134;0,00128;0,99914
0,164009571;0,01665973;-0,020719292;0,000355805;0,999646456;;1;0,02;-0,02;0,00;1,00;;-0,9985;-0,0334;-0,0414;0,0334;-0,9985;0,0015;-0,0414;0,0001;0,9999;;-0,04137;0,00149;0,99991;1,00076;-0,04134;0,00149;0,99914
0,165009499;0,016702482;-0,020697218;0,000390644;0,999646187;;1;0,02;-0,02;0,00;1,00;;-0,9985;-0,0334;-0,0414;0,0334;-0,9985;0,0015;-0,0414;0,0001;0,9999;;-0,04137;0,00149;0,99991;1,00076;-0,04134;0,00149;0,99914
0,166008711;0,016721945;-0,020679993;0,000409279;0,999646211;;1;0,02;-0,02;0,00;1,00;;-0,9985;-0,0334;-0,0414;0,0334;-0,9985;0,0015;-0,0414;0,0001;0,9999;;-0,04137;0,00149;0,99991;1,00076;-0,04134;0,00149;0,99914
0,167009354;0,016736776;-0,020664997;0,000424201;0,999646267;;1;0,02;-0,02;0,00;1,00;;-0,9985;-0,0334;-0,0414;0,0334;-0,9985;0,0015;-0,0414;0,0001;0,9999;;-0,04137;0,00149;0,99991;1,00076;-0,04134;0,00149;0,99914
0,167009354;0,01675091;-0,020650381;0,000438548;0,999646326;;0;0,02;-0,02;0,00;1,00;;-0,9985;-0,0336;-0,0414;0,0336;-0,9985;0,0015;-0,0414;0,0001;0,9999;;-0,04137;0,00150;0,99991;1,00077;-0,04134;0,00149;0,99914
0,167009354;0,016747435;-0,020653995;0,000435013;0,999646311;;0;0,02;-0,02;0,00;1,00;;-0,9985;-0,0334;-0,0414;0,0334;-0,9985;0,0015;-0,0414;0,0001;0,9999;;-0,04137;0,00149;0,99991;1,00076;-0,04134;0,00149;0,99914
0,168010473;0,019254337;-0,02098955;0,000455781;0,999594168;;1;0,02;-0,02;0,00;1,00;;-0,9984;-0,0386;-0,0420;0,0386;-0,9984;0,0018;-0,0420;0,0002;1,0000;;-0,04196;0,00181;1,00001;1,00090;-0,04193;0,00181;0,99912
0,168010473;0,019762273;-0,020853839;0,000635249;0,999586998;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0396;-0,0418;0,0396;-0,9984;0,0020;-0,0418;0,0004;1,0000;;-0,04176;0,00203;1,00003;1,00090;-0,04172;0,00203;0,99913
0,168010473;0,019896281;-0,020766761;0,000726715;0,99958609;;0;0,02;-0,02;0,00;1,00;;-0,9984;-0,0398;-0,0416;0,0398;-0,9984;0,0022;-0,0416;0,0006;1,0000;;-0,04156;0,00223;1,00003;1,00089;-0,04152;0,00223;0,99914
