Clase, Coordenada_X, Coordenada_Y, Profundidad
drumsticks_tip, 191, 236, 0.8856
drumsticks_tip, 177, 232, 0.9156
drumsticks_mid, 174, 378, 0.9182
drumsticks_tip, 85, 224, 0.7636
drumsticks_mid, 129, 367, 0.9357
drumsticks_mid, 232, 369, 0.7981
drumsticks_tip, 412, 322, 0.7146
drumsticks_mid, 318, 416, 0.9157
drumsticks_tip, 412, 324, 0.7611
drumsticks_mid, 316, 420, 0.8975
drumsticks_mid, 254, 398, 0.8176
drumsticks_tip, 327, 270, 0.5659
drumsticks_mid, 208, 398, 0.8905
drumsticks_tip, 239, 253, 0.8922
drumsticks_tip, 232, 254, 0.7827
drumsticks_mid, 204, 399, 0.8460
drumsticks_tip, 234, 254, 0.8244
drumsticks_mid, 204, 399, 0.8317
drumsticks_tip, 234, 254, 0.8632
drumsticks_mid, 205, 399, 0.8644
drumsticks_tip, 233, 254, 0.8156
drumsticks_mid, 205, 398, 0.8327
drumsticks_tip, 233, 250, 0.8311
drumsticks_mid, 204, 399, 0.8435
drumsticks_tip, 234, 254, 0.8172
drumsticks_mid, 205, 400, 0.8298
drumsticks_tip, 235, 255, 0.7875
drumsticks_mid, 206, 401, 0.8421
drumsticks_tip, 369, 285, 0.3754
drumsticks_mid, 288, 395, 0.8012
drumsticks_tip, 408, 329, 0.7202
drumsticks_mid, 318, 414, 0.9126
drumsticks_mid, 320, 416, 0.8960
drumsticks_tip, 410, 330, 0.7268
drumsticks_mid, 319, 415, 0.9188
drumsticks_tip, 408, 330, 0.6935
drumsticks_mid, 318, 414, 0.9098
drumsticks_tip, 406, 328, 0.6920
drumsticks_tip, 296, 258, 0.9871
drumsticks_mid, 226, 388, 0.8935
drumsticks_tip, 105, 249, 0.5997
drumsticks_mid, 119, 399, 0.9027
drumsticks_tip, 111, 249, 0.7976
drumsticks_mid, 126, 398, 0.8949
drumsticks_tip, 358, 285, 0.6991
drumsticks_mid, 310, 435, 0.8195
drumsticks_tip, 400, 279, 0.5208
drumsticks_mid, 342, 427, 0.8220
drumsticks_tip, 396, 279, 0.2308
drumsticks_mid, 340, 428, 0.8156
drumsticks_tip, 394, 279, 0.2695
drumsticks_mid, 341, 429, 0.7797
drumsticks_tip, 390, 279, 0.1817
drumsticks_mid, 338, 430, 0.8227
drumsticks_tip, 385, 275, 0.1582
drumsticks_mid, 336, 427, 0.8086
drumsticks_tip, 379, 273, 0.3906
drumsticks_mid, 333, 427, 0.8096
drumsticks_tip, 374, 271, 0.5120
drumsticks_mid, 331, 425, 0.8220
drumsticks_tip, 368, 271, 0.6833
drumsticks_mid, 326, 426, 0.8370
drumsticks_tip, 365, 271, 0.6713
drumsticks_mid, 323, 427, 0.8221
drumsticks_tip, 362, 273, 0.7152
drumsticks_mid, 323, 427, 0.8385
drumsticks_tip, 361, 271, 0.6717
drumsticks_mid, 322, 426, 0.8435
drumsticks_tip, 359, 273, 0.6917
drumsticks_mid, 321, 427, 0.8431
drumsticks_tip, 356, 275, 0.7377
drumsticks_mid, 319, 428, 0.8416
drumsticks_tip, 355, 275, 0.7551
drumsticks_mid, 316, 428, 0.8649
drumsticks_tip, 355, 274, 0.7465
drumsticks_mid, 317, 427, 0.8485
drumsticks_tip, 350, 274, 0.7528
drumsticks_mid, 315, 428, 0.8642
drumsticks_tip, 350, 293, 0.8221
drumsticks_mid, 307, 452, 0.8802
drumsticks_tip, 189, 265, 0.3764
drumsticks_tip, 127, 432, 0.4514
drumsticks_tip, 126, 432, 0.3397
drumsticks_tip, 188, 266, 0.7018
drumsticks_tip, 188, 264, 0.8138
drumsticks_tip, 188, 266, 0.7230
drumsticks_tip, 189, 266, 0.6882
drumsticks_tip, 127, 432, 0.8076
drumsticks_tip, 127, 432, 0.8444
drumsticks_tip, 189, 265, 0.7585
drumsticks_tip, 306, 409, 0.5773
drumsticks_tip, 189, 265, 0.6958
drumsticks_tip, 189, 266, 0.4828
drumsticks_tip, 189, 265, 0.7120
drumsticks_tip, 126, 432, 0.8245
drumsticks_tip, 127, 432, 0.8792
drumsticks_tip, 188, 265, 0.7064
drumsticks_mid, 637, 112, 0.1340
drumsticks_tip, 127, 432, 0.8569
drumsticks_tip, 189, 262, 0.7392
drumsticks_tip, 188, 266, 0.7053
drumsticks_tip, 127, 432, 0.8642
drumsticks_tip, 311, 426, 0.6734
drumsticks_tip, 188, 264, 0.7104
drumsticks_tip, 127, 432, 0.8574
drumsticks_tip, 127, 432, 0.8762
drumsticks_tip, 188, 265, 0.6800
