Clase, Coordenada_X, Coordenada_Y, Profundidad
drumsticks_tip, 261, 172, 0.1764
drumsticks_mid, 162, 232, 0.6277
drumsticks_tip, 281, 114, 0.1839
drumsticks_mid, 179, 193, 0.3048
drumsticks_mid, 240, 117, 0.3883
drumsticks_tip, 342, 11, 0.1884
drumsticks_mid, 263, 153, 0.2054
drumsticks_tip, 386, 84, 0.1544
drumsticks_tip, 396, 162, 0.9852
drumsticks_mid, 269, 183, 0.2457
drumsticks_tip, 375, 306, 0.8713
drumsticks_mid, 267, 237, 0.8086
drumsticks_tip, 332, 311, 0.7968
drumsticks_mid, 246, 243, 0.8744
drumsticks_tip, 292, 255, 0.7760
drumsticks_mid, 219, 213, 0.8370
drumsticks_mid, 205, 192, 0.8118
drumsticks_tip, 263, 206, 0.1634
drumsticks_tip, 201, 100, 0.6605
drumsticks_tip, 149, 29, 0.3743
drumsticks_tip, 122, 20, 0.3005
drumsticks_mid, 134, 109, 0.7046
drumsticks_tip, 57, 18, 0.5844
drumsticks_mid, 104, 109, 0.7374
drumsticks_tip, 11, 27, 0.5156
drumsticks_mid, 76, 115, 0.6727
drumsticks_mid, 59, 151, 0.5752
drumsticks_mid, 50, 198, 0.8968
drumsticks_mid, 50, 218, 0.8650
drumsticks_mid, 57, 239, 0.8312
drumsticks_mid, 59, 240, 0.7919
drumsticks_mid, 61, 220, 0.8357
drumsticks_mid, 63, 177, 0.6438
drumsticks_mid, 67, 150, 0.6269
drumsticks_mid, 82, 101, 0.3606
drumsticks_mid, 111, 68, 0.6120
drumsticks_mid, 146, 53, 0.7536
drumsticks_mid, 163, 55, 0.7364
drumsticks_tip, 216, 50, 0.4587
drumsticks_tip, 229, 340, 0.5068
drumsticks_mid, 216, 259, 0.7264
drumsticks_mid, 210, 303, 0.5494
drumsticks_mid, 204, 316, 0.4873
drumsticks_tip, 211, 427, 0.4147
drumsticks_mid, 192, 323, 0.4182
drumsticks_tip, 191, 432, 0.1103
drumsticks_mid, 266, 468, 0.1366
drumsticks_mid, 183, 317, 0.5017
drumsticks_tip, 179, 424, 0.1152
drumsticks_mid, 165, 293, 0.6947
drumsticks_tip, 148, 388, 0.4991
drumsticks_tip, 112, 319, 0.4486
drumsticks_mid, 147, 253, 0.7258
drumsticks_tip, 80, 226, 0.2581
drumsticks_mid, 133, 199, 0.7676
drumsticks_tip, 61, 114, 0.3032
drumsticks_mid, 120, 148, 0.5065
drumsticks_tip, 53, 64, 0.5351
drumsticks_mid, 114, 123, 0.7780
drumsticks_mid, 111, 77, 0.7399
drumsticks_mid, 112, 60, 0.7787
drumsticks_mid, 112, 40, 0.7515
drumsticks_mid, 116, 44, 0.7242
drumsticks_mid, 124, 77, 0.6354
drumsticks_mid, 134, 110, 0.5431
drumsticks_tip, 153, 48, 0.3228
drumsticks_tip, 219, 214, 0.1877
drumsticks_mid, 262, 466, 0.3734
drumsticks_mid, 260, 467, 0.4145
drumsticks_mid, 622, 469, 0.3015
drumsticks_mid, 622, 469, 0.2820
drumsticks_mid, 622, 469, 0.3134
drumsticks_mid, 622, 469, 0.3177
drumsticks_mid, 622, 469, 0.2813
drumsticks_mid, 622, 469, 0.3397
drumsticks_mid, 622, 469, 0.2775
drumsticks_mid, 622, 469, 0.2823
drumsticks_mid, 622, 469, 0.3056
drumsticks_mid, 622, 469, 0.3003
drumsticks_tip, 414, 207, 0.2726
drumsticks_tip, 493, 334, 0.1742
drumsticks_tip, 494, 338, 0.1830
drumsticks_tip, 493, 341, 0.1834
drumsticks_tip, 492, 345, 0.2095
drumsticks_tip, 488, 350, 0.1475
drumsticks_tip, 487, 355, 0.1335
drumsticks_mid, 622, 469, 0.2155
drumsticks_tip, 304, 309, 0.0929
drumsticks_tip, 307, 312, 0.0937
drumsticks_tip, 305, 321, 0.0681
drumsticks_tip, 303, 329, 0.0707
drumsticks_tip, 304, 331, 0.1219
drumsticks_tip, 303, 338, 0.1369
drumsticks_tip, 302, 341, 0.1379
drumsticks_tip, 300, 346, 0.1353
drumsticks_mid, 363, 433, 0.5687
drumsticks_tip, 300, 346, 0.1619
drumsticks_tip, 301, 346, 0.1650
drumsticks_tip, 301, 345, 0.1881
drumsticks_tip, 301, 345, 0.2135
drumsticks_tip, 302, 345, 0.2036
drumsticks_tip, 302, 346, 0.2159
drumsticks_tip, 302, 345, 0.2048
drumsticks_tip, 302, 345, 0.1730
drumsticks_mid, 622, 469, 0.2538
drumsticks_tip, 301, 344, 0.1522
drumsticks_tip, 300, 343, 0.1691
drumsticks_tip, 300, 335, 0.1297
drumsticks_tip, 300, 318, 0.0566
drumsticks_tip, 479, 369, 0.1168
drumsticks_tip, 477, 354, 0.1472
drumsticks_tip, 476, 345, 0.1377
drumsticks_tip, 472, 331, 0.1857
drumsticks_mid, 262, 379, 0.7953
drumsticks_tip, 398, 253, 0.4612
drumsticks_mid, 255, 270, 0.8943
drumsticks_mid, 250, 222, 0.8983
drumsticks_tip, 384, 183, 0.7368
drumsticks_mid, 235, 154, 0.8998
drumsticks_tip, 356, 73, 0.1705
drumsticks_mid, 219, 109, 0.3018
